total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy
3779000,136185.068181818,1190.5625,1083461.79545455,2076824,5947395.89772727,392928.034090909,5554467.86363636,8,1654545.45454545,148037.465909091,-105.965909090909,3803,20,202724,81695.4107261364
3779000,132050.505263158,1187.75263157895,1084694.67368421,2076824,6356116.01052632,435888.978947368,5920227.03157895,8,1666184.21052632,152017.826315789,-175,3803,20,332660,221393.5465
3779000,123080.994708995,1178.36507936508,1084007.72486773,2076824,6436688.17460318,458202.037037037,5978486.13756614,8,1659253.96825397,156293.825396825,-105.571428571429,3803,20,475349,190846.987219
3779000,150138.735632184,1189.29310344828,1068239.63218391,2076824,6369676.38505747,478866.270114943,5890810.11494253,8,1644683.90804598,160506.936781609,-94,3786,20,131648,46851.416832
3779000,148284.242424242,1187.73737373737,1068408.04040404,2076824,6511488.56060606,474341.611111111,6037146.94949495,8,1659974.74747475,164660.419191919,-73.3939393939394,3786,20,349008,96978.662592
3779000,135108.141414141,1174.87373737374,1068422.88888889,2076824,6487612.22222222,388377.919191919,6099234.3030303,8,1648358.58585859,169000.196969697,-59.979797979798,3786,20,391738,88957.2420584242
3779000,124832.270833333,1163.53645833333,1067187.70833333,2076824,5836176.94270833,432729.401041667,5403447.54166667,8,1656927.08333333,173236.442708333,-6,3786,20,319088,7248.403008
3779000,120413.367875648,1151.67875647668,1059486.88082902,2076824,5794336.08290155,431303.875647668,5363032.20725389,8,1679108.80829016,177726.357512953,-76.5492227979275,3786,20,314877,91256.1903276062
3779000,107010.491017964,1162.19760479042,1083566.13173653,2076824,5851484.89820359,438035.892215569,5413449.00598802,8,1675592.81437126,182055.532934132,-94.6107784431138,3786,20,60714,21747.5366658683
3779000,108294.303664921,1163.12565445026,1083328.85863874,2076824,6266729.32460733,501287.314136126,5765442.0104712,8,1640539.26701571,186140.32460733,-202,3786,20,376047,287590.216284
3779000,122688.14507772,1181.29015544041,1087524.10362694,2076824,6036107.62176166,409346.419689119,5626761.20207254,8,1649010.3626943,190526.533678756,-125.072538860104,3786,20,363130,171950.999663316
3779000,134121.841269841,1183.72486772487,1078484.50793651,2076824,6245578.07936508,479040.724867725,5766537.35449735,8,1656910.05291005,194646.105820106,-101,3786,20,200949,76840.084314
3779000,142553.568627451,1190.69607843137,1077188,2076824,6340187.00490196,417283.710784314,5922903.29411765,8,1649789.21568627,198992.828431373,-32.6176470588235,3786,20,560522,69219.0925831765
3779000,141967.557894737,1191.96315789474,1079029.76842105,2076824,6190115.97368421,522325.447368421,5667790.52631579,8,1676578.94736842,203329.663157895,-38.6315789473684,3786,20,350430,51253.5967010526
3779000,143129.902702703,1195.66486486487,1081653.03783784,2076824,6615144.6,560126.697297297,6055017.9027027,8,1656345.94594595,207345.643243243,-161,3786,20,404335,246460.78191
3779000,132872.268156425,1183.82681564246,1079874.94972067,2076824,6631411.13407821,416351.379888268,6215059.75418994,8,1671089.38547486,211480.893854749,-112.77094972067,3786,20,383140,163581.935505251
3779000,149326.23655914,1192.79032258065,1072567.39784946,2076824,5967739.8172043,413585.193548387,5554154.62365591,8,1654129.03225806,215832.795698925,-63.6774193548387,3786,20,410142,98878.1447125161
3779000,146813.895833333,1190.75520833333,1073080.27083333,2076824,6064336.02604167,422751.151041667,5641584.875,8,1651041.66666667,220081.307291667,-59,3786,20,294983,65891.532642
3779000,115416,1163.13888888889,1076123.53333333,2076824,6030205.62777778,357528.161111111,5672677.46666667,8,1658472.22222222,224511.511111111,-50.1611111111111,3786,20,645098,122510.539676733
3779000,131132.5625,1172.96875,1070386.95833333,2076824,5904892.91666667,481693.583333333,5423199.33333333,8,1653515.625,228835.984375,-28.03125,3786,20,490788,52085.52065925
3779000,132313.988700565,1171.75141242938,1068105.37853107,2076824,6094455.28813559,467907.084745763,5626548.20338983,8,1651508.47457627,233007.06779661,-38.6101694915254,3786,20,575370,84106.4943722034
3779000,147630.412698413,1187.30158730159,1068692.6984127,2076824,6263574.65608466,441147.354497354,5822427.3015873,8,1660449.73544974,237197.195767196,-6.21164021164021,3786,20,597337,14047.7354151746
3779000,134173.444444444,1174.36666666667,1068839.97777778,2076824,6149315.48888889,429537.355555556,5719778.13333333,8,1674161.11111111,241486.622222222,-68.9555555555556,3795.94444444444,20,833315,218121.416243846
3779000,138723.513812155,1180.18784530387,1070336.77348066,2076824,6435463.39226519,475160.055248619,5960303.33701658,8,1629707.18232044,245541.303867403,-161.92817679558,3796,20,802542,493306.002223691
3779000,123739.680851064,1164.92553191489,1069640.55319149,2076824,6444085.52659574,450596.888297872,5993488.63829787,8,1665691.4893617,249871.617021277,-106.851063829787,3796,20,617857,250606.900718808
3779000,147293.244444444,1184.68333333333,1066282.95555556,2076824,6388689.68888889,454096.977777778,5934592.71111111,8,1641100,254004.538888889,-28.6666666666667,3796,20,402725,43823.9975333333
3779000,135294.364640884,1174.88950276243,1068240.86187845,2076824,5887173.77348066,369023.408839779,5518150.36464088,8,1647237.56906077,258287.132596685,-45.4198895027624,3796,20,825737,142368.537000508
